category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Land;Official Residence;688004595472;Used by Other Parties;Government Office Building;Severely Damaged;DKI Jakarta;Kota Jakarta Timur;-6.211544;106.845172;2019;0
Land;Plantation Land;728227920003;Used for Operations;Infrastructure (e.g., bridges, roads);Severely Damaged;DKI Jakarta;Kota Jakarta Pusat;-6.211544;106.845172;2019;0
Building;Sports Facilities (Stadium, Sports Field);848663359902;Used for Functional Vehicles;Public Facilities (e.g., park, field);Severely Damaged;DKI Jakarta;Kota Jakarta Barat;-6.211544;106.845172;2019;0
Land;Agricultural Land;1276530345859;Not Used/Abandoned;Government Office Building;Well Maintained;DKI Jakarta;Kota Jakarta Utara;-6.211544;106.845172;2019;178714248420
Building;Sports Facilities (Stadium, Sports Field);1429257691828;Used for Functional Vehicles;Agricultural Land;Slightly Damaged;Jawa Barat;Kabupaten Bogor;-6.6;106.8;2019;0
Building;Plantation Land;1279067570284;Not Used/Abandoned;Hospital/Clinic;Severely Damaged;Jawa Barat;Kabupaten Sukabumi;-6.92405;106.922203;2019;179069459840
Building;Sports Facilities (Stadium, Sports Field);504554097715;Not Used/Abandoned;Plantation Land;Severely Damaged;Jawa Barat;Kabupaten Cianjur;-6.8172531;107.1307289;2019;70637573680
Land;Hospital/Clinic;1300179901402;Used for Operations;School/University Building;Well Maintained;Jawa Barat;Kabupaten Bandung;-6.9147444;107.6098111;2019;0
Land;Sports Facilities (Stadium, Sports Field);1129239667504;Used According to Procedure;Plantation Land;Slightly Damaged;Jawa Barat;Kabupaten Garut;-7.227906;107.908699;2019;0
Land;Public Facilities (Park, Field);1290321915069;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Needs Repair;Jawa Barat;Kabupaten Tasikmalaya;-7.327954;108.214104;2019;0
Land;Hospital/Clinic;1065533761450;Used According to Procedure;Monument or Historical Building;Severely Damaged;Jawa Barat;Kabupaten Ciamis;-7.3333333;108.35;2019;0
Land;Warehouse/Logistics;525302637104;Not Yet Used;Government Office Building;Slightly Damaged;Jawa Barat;Kabupaten Kuningan;-6.9833333;108.4833333;2019;57783290081
Building;Official Residence;1294873915514;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Severely Damaged;Jawa Barat;Kabupaten Cirebon;-6.715534;108.564003;2019;0
Land;Hospital/Clinic;572715000644;Used for Functional Vehicles;School/University Building;Severely Damaged;Jawa Barat;Kabupaten Majalengka;-6.8531026;108.2258897;2019;0
Building;Hospital/Clinic;842884008343;Not Used/Abandoned;Hospital/Clinic;Well Maintained;Jawa Barat;Kabupaten Sumedang;0.6095949;110.0330554;2019;84288400834
Building;Public Facilities (Park, Field);1034010646486;Used by Other Parties;Infrastructure (e.g., bridges, roads);Slightly Damaged;Jawa Barat;Kabupaten Indramayu;-6.336315;108.325104;2019;0
Land;Warehouse/Logistics;780903646911;Used for Operations;School/University Building;Severely Damaged;Jawa Barat;Kabupaten Subang;-6.569361;107.752403;2019;0
Building;Sports Facilities (Stadium, Sports Field);1251750317900;Not Yet Used;Public Facilities (e.g., park, field);Well Maintained;Jawa Barat;Kabupaten Purwakarta;-6.5386806;107.4499404;2019;125175031790
Land;Hospital/Clinic;1464807020246;Not Used/Abandoned;Warehouse/Logistics;Well Maintained;Jawa Barat;Kabupaten Karawang;-6.3227303;107.3375791;2019;161128772227
Building;Official Residence;956490112788;Not Yet Used;School/University Building;Severely Damaged;Jawa Barat;Kabupaten Bekasi;-6.2333333;107;2019;114778813535
Building;Official Residence;1443574024482;Used by Other Parties;Warehouse/Logistics;Well Maintained;Jawa Barat;Kabupaten Bandung Barat;-6.8937121;107.4321959;2019;0
Building;Public Facilities (Park, Field);1408069151139;Used for Operations;School/University Building;Well Maintained;Jawa Barat;Kota Bogor;-6.6;106.8;2019;0
Land;School/University Building;1309931029416;Used According to Procedure;Infrastructure (e.g., bridges, roads);Severely Damaged;Jawa Barat;Kota Sukabumi;-6.92405;106.922203;2019;0
Land;Government Office Building;1219093778613;Used by Other Parties;Government Office Building;Well Maintained;Jawa Barat;Kota Bandung;-6.9147444;107.6098111;2019;0
Land;Official Residence;516736984570;Used According to Procedure;School/University Building;Severely Damaged;Jawa Barat;Kota Cirebon;-6.715534;108.564003;2019;0
Land;Monument or Historical Building;1392746606779;Used According to Procedure;Public Facilities (e.g., park, field);Severely Damaged;Jawa Barat;Kota Bekasi;-6.2333333;107;2019;0
Building;Monument or Historical Building;1065804392955;Not Used/Abandoned;Warehouse/Logistics;Needs Repair;Jawa Barat;Kota Depok;-6.39;106.83;2019;117238483225
Land;Sports Facilities (Stadium, Sports Field);627571258107;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Well Maintained;Jawa Barat;Kota Cimahi;-6.880239;107.5355;2019;81584263554
Land;Official Residence;1183862121939;Used According to Procedure;Plantation Land;Severely Damaged;Jawa Barat;Kota Tasikmalaya;-7.327954;108.214104;2019;0
Building;Agricultural Land;767006677086;Used According to Procedure;Monument or Historical Building;Severely Damaged;Jawa Barat;Kota Banjar;-7.3666667;108.5333333;2019;0
Building;Monument or Historical Building;1184202969404;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Needs Repair;Jawa Tengah;Kabupaten Cilacap;-7.733333;109;2019;153946386023
Land;Warehouse/Logistics;576756847797;Used for Functional Vehicles;School/University Building;Well Maintained;Jawa Tengah;Kabupaten Banyumas;-7.4832133;109.140438;2019;0
Building;Official Residence;1465722840629;Not Used/Abandoned;Agricultural Land;Severely Damaged;Jawa Tengah;Kabupaten Purbalingga;-7.390747;109.3638;2019;161229512469
Land;Plantation Land;562943605901;Not Used/Abandoned;Public Facilities (e.g., park, field);Well Maintained;Jawa Tengah;Kabupaten Banjarnegara;-7.402706;109.681396;2019;56294360590
Building;Warehouse/Logistics;1359059483569;Used by Other Parties;Agricultural Land;Needs Repair;Jawa Tengah;Kabupaten Kebumen;-7.678682;109.656502;2019;0
Land;Sports Facilities (Stadium, Sports Field);810731260231;Not Used/Abandoned;Plantation Land;Well Maintained;Jawa Tengah;Kabupaten Purworejo;-7.709731;110.008003;2019;89180438625
Building;Plantation Land;788078705204;Not Yet Used;Warehouse/Logistics;Needs Repair;Jawa Tengah;Kabupaten Wonosobo;-7.362109;109.899399;2019;110331018729
Land;Plantation Land;889319653369;Used for Operations;Warehouse/Logistics;Slightly Damaged;Jawa Tengah;Kabupaten Magelang;-7.481253;110.213799;2019;0
Building;Government Office Building;1264509580973;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Well Maintained;Jawa Tengah;Kabupaten Boyolali;-7.523819;110.595901;2019;0
Land;Hospital/Clinic;695335613843;Used by Other Parties;Plantation Land;Severely Damaged;Jawa Tengah;Kabupaten Klaten;-7.711687;110.595497;2019;0
Land;Public Facilities (Park, Field);941091503681;Used According to Procedure;Government Office Building;Severely Damaged;Jawa Tengah;Kabupaten Sukoharjo;-7.6808818;110.8195292;2019;0
Land;Unused Vacant Land;982546782135;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Needs Repair;Jawa Tengah;Kabupaten Wonogiri;-7.817782;110.920601;2019;0
Land;Plantation Land;1398619586751;Used for Operations;Government Office Building;Slightly Damaged;Jawa Tengah;Kabupaten Karanganyar;-7.5961111;110.9508333;2019;0
Land;Hospital/Clinic;1048177204140;Used According to Procedure;Warehouse/Logistics;Well Maintained;Jawa Tengah;Kabupaten Sragen;-7.430229;111.021301;2019;0
Land;School/University Building;1131450757888;Used by Other Parties;Public Facilities (e.g., park, field);Severely Damaged;Jawa Tengah;Kabupaten Grobogan;-7.0217194;110.9625854;2019;0
Building;Warehouse/Logistics;1385262941850;Used for Functional Vehicles;Plantation Land;Slightly Damaged;Jawa Tengah;Kabupaten Blora;-6.95;111.4166667;2019;0
Land;Unused Vacant Land;828082670420;Used According to Procedure;Hospital/Clinic;Needs Repair;Jawa Tengah;Kabupaten Rembang;-6.71124;111.345299;2019;0
Building;Public Facilities (Park, Field);568627836713;Used for Functional Vehicles;Agricultural Land;Needs Repair;Jawa Tengah;Kabupaten Pati;-6.751338;111.038002;2019;0
Land;Public Facilities (Park, Field);1280360760549;Used According to Procedure;Hospital/Clinic;Severely Damaged;Jawa Tengah;Kabupaten Kudus;-6.804087;110.838203;2019;0
Building;Monument or Historical Building;1250772995033;Used According to Procedure;School/University Building;Severely Damaged;Jawa Tengah;Kabupaten Jepara;-6.5596059;110.6717;2019;0
Land;Government Office Building;819090790932;Used According to Procedure;Plantation Land;Severely Damaged;Jawa Tengah;Kabupaten Demak;-6.888115;110.639297;2019;0
Building;Warehouse/Logistics;1438795405780;Used for Functional Vehicles;Monument or Historical Building;Severely Damaged;Jawa Tengah;Kabupaten Semarang;-6.9666667;110.4166667;2019;0
Land;Warehouse/Logistics;1325249213497;Not Yet Used;Government Office Building;Severely Damaged;Jawa Tengah;Kabupaten Temanggung;-7.316669;110.174797;2019;185534889890
Building;School/University Building;499626327392;Used for Operations;Hospital/Clinic;Slightly Damaged;Jawa Tengah;Kabupaten Kendal;-6.919686;110.205597;2019;0
Land;Monument or Historical Building;601837723812;Not Used/Abandoned;Government Office Building;Needs Repair;Jawa Tengah;Kabupaten Batang;-6.8941111;109.7234519;2019;60183772381
Building;Warehouse/Logistics;958440048496;Not Used/Abandoned;Plantation Land;Needs Repair;Jawa Tengah;Kabupaten Pekalongan;-6.882887;109.669998;2019;95844004850
Building;Agricultural Land;1401375015668;Not Used/Abandoned;Public Facilities (e.g., park, field);Slightly Damaged;Jawa Tengah;Kabupaten Pemalang;-6.884234;109.377998;2019;140137501567
Building;Agricultural Land;671977528879;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Severely Damaged;Jawa Tengah;Kabupaten Tegal;-6.8666667;109.1333333;2019;0
Land;Unused Vacant Land;1161557317315;Used by Other Parties;Government Office Building;Severely Damaged;Jawa Tengah;Kabupaten Brebes;-6.8833333;109.05;2019;0
Building;Government Office Building;1359360765045;Not Used/Abandoned;Hospital/Clinic;Needs Repair;Jawa Tengah;Kota Magelang;-7.481253;110.213799;2019;176716899456
Land;Monument or Historical Building;1420823176610;Used for Operations;Public Facilities (e.g., park, field);Severely Damaged;Jawa Tengah;Kota Surakarta;-7.5666667;110.8166667;2019;0
Land;Official Residence;1148750243862;Used for Operations;Government Office Building;Needs Repair;Jawa Tengah;Kota Salatiga;-7.302328;110.4729;2019;0
Land;Official Residence;847447633125;Used According to Procedure;Monument or Historical Building;Well Maintained;Jawa Tengah;Kota Semarang;-6.9666667;110.4166667;2019;0
Land;School/University Building;858358431927;Not Used/Abandoned;Government Office Building;Well Maintained;Jawa Tengah;Kota Pekalongan;-6.882887;109.669998;2019;103003011831
Building;Government Office Building;1254263457987;Used by Other Parties;Government Office Building;Well Maintained;Jawa Tengah;Kota Tegal;-6.8666667;109.1333333;2019;0
Land;Official Residence;1362165702495;Used for Functional Vehicles;Government Office Building;Needs Repair;DI Yogyakarta;Kabupaten Kulon Progo;-7.8266798;110.1640846;2019;0
Building;School/University Building;1452621975185;Used According to Procedure;Public Facilities (e.g., park, field);Slightly Damaged;DI Yogyakarta;Kabupaten Bantul;-7.8846111;110.3341111;2019;0
Land;Plantation Land;1251275220934;Not Used/Abandoned;Hospital/Clinic;Well Maintained;DI Yogyakarta;Kabupaten Gunung Kidul;-8.0305091;110.6168921;2019;162665778721
Building;Official Residence;1052095722868;Used by Other Parties;Monument or Historical Building;Severely Damaged;DI Yogyakarta;Kota Yogyakarta;-7.797224;110.368797;2019;0
Land;Monument or Historical Building;1404126711090;Used by Other Parties;Government Office Building;Severely Damaged;Banten;Kabupaten Pandeglang;-6.314835;106.103897;2019;0
Land;Government Office Building;1433661338211;Used for Operations;Warehouse/Logistics;Needs Repair;Banten;Kabupaten Lebak;-6.5643956;106.2522143;2019;0
Building;School/University Building;961478246753;Used by Other Parties;Government Office Building;Needs Repair;Banten;Kabupaten Tangerang;-6.1783056;106.6318889;2019;0
Land;Official Residence;1439219417128;Not Yet Used;Warehouse/Logistics;Slightly Damaged;Banten;Kabupaten Serang;-6.12009;106.150299;2019;187098524227
Land;Public Facilities (Park, Field);1096260640122;Used by Other Parties;Agricultural Land;Needs Repair;Banten;Kota Tangerang;-6.1783056;106.6318889;2019;0
Land;School/University Building;903272979691;Not Yet Used;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Banten;Kota Cilegon;-6.0169825;106.040506;2019;117425487360
Land;Unused Vacant Land;1374078090931;Used According to Procedure;Hospital/Clinic;Severely Damaged;Banten;Kota Serang;-6.12009;106.150299;2019;0
Land;Public Facilities (Park, Field);913868348451;Used for Functional Vehicles;Hospital/Clinic;Severely Damaged;Bali;Kabupaten Jembrana;-8.361852;114.6418;2019;0
Land;Plantation Land;854910190449;Used for Functional Vehicles;Monument or Historical Building;Needs Repair;Bali;Kabupaten Tabanan;-8.544516;115.119797;2019;0
Land;Unused Vacant Land;1310374725368;Not Yet Used;School/University Building;Severely Damaged;Bali;Kabupaten Badung;-8.5819296;115.1770586;2019;196556208805
Land;Plantation Land;1465738450906;Used for Operations;Infrastructure (e.g., bridges, roads);Well Maintained;Bali;Kabupaten Gianyar;-8.544185;115.3255;2019;0
Building;Official Residence;1155561360026;Used for Functional Vehicles;Agricultural Land;Well Maintained;Bali;Kabupaten Klungkung;-8.5389222;115.4045111;2019;0
Land;Sports Facilities (Stadium, Sports Field);818533407763;Used by Other Parties;Plantation Land;Severely Damaged;Bali;Kabupaten Bangli;-8.454303;115.354897;2019;0
Building;Public Facilities (Park, Field);1327209324311;Used for Functional Vehicles;Government Office Building;Slightly Damaged;Bali;Kabupaten Karang Asem;-6.3996057;108.0503042;2019;0
Land;Monument or Historical Building;1404953333768;Used According to Procedure;Hospital/Clinic;Slightly Damaged;Bali;Kabupaten Buleleng;-8.113831;115.126999;2019;0
Building;Monument or Historical Building;644958079273;Used by Other Parties;Public Facilities (e.g., park, field);Severely Damaged;Bali;Kota Denpasar;-8.65629;115.222099;2019;0
Building;Monument or Historical Building;804301964571;Used According to Procedure;School/University Building;Needs Repair;Nusa Tenggara Barat;Kabupaten Lombok Barat;-8.6464599;116.1123078;2019;0
Building;Hospital/Clinic;1110018271144;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Needs Repair;Nusa Tenggara Barat;Kabupaten Lombok Tengah;-8.694623;116.2777073;2019;155402557960
Land;Unused Vacant Land;827330299680;Used for Functional Vehicles;Agricultural Land;Well Maintained;Nusa Tenggara Barat;Kabupaten Lombok Timur;-8.5134471;116.5609857;2019;0
Land;Warehouse/Logistics;1110990250614;Used for Operations;Monument or Historical Building;Needs Repair;Nusa Tenggara Barat;Kabupaten Sumbawa;-8.6529334;117.3616476;2019;0
Building;Monument or Historical Building;1318823822771;Used by Other Parties;Plantation Land;Needs Repair;Nusa Tenggara Barat;Kabupaten Dompu;-8.4966318;118.4747173;2019;0
Land;Public Facilities (Park, Field);634456913895;Not Used/Abandoned;School/University Building;Slightly Damaged;Nusa Tenggara Barat;Kabupaten Bima;-8.460566;118.727402;2019;95168537084
Land;Warehouse/Logistics;1117077354729;Used According to Procedure;Infrastructure (e.g., bridges, roads);Needs Repair;Nusa Tenggara Barat;Kabupaten Sumbawa Barat;-8.9292907;116.8910342;2019;0
Building;Agricultural Land;1156018116371;Not Yet Used;Government Office Building;Slightly Damaged;Nusa Tenggara Barat;Kota Mataram;-8.5833333;116.1166667;2019;138722173965
Land;Official Residence;1365111004524;Used According to Procedure;Monument or Historical Building;Slightly Damaged;Nusa Tenggara Barat;Kota Bima;-8.460566;118.727402;2019;0
Building;Monument or Historical Building;1205234957173;Not Yet Used;Hospital/Clinic;Slightly Damaged;Nusa Tenggara Timur;Kabupaten Sumba Barat;-9.6548326;119.3947135;2019;132575845289
Building;Agricultural Land;1280841012063;Not Yet Used;Warehouse/Logistics;Severely Damaged;Nusa Tenggara Timur;Kabupaten Sumba Timur;-9.9802103;120.3435506;2019;166509331568
